,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
1W76378 ,3,,1W95769 ,18,,118753T904 ,1
1W76556 ,1,,1W97804 ,3,,119A2A256 ,1
1W82555 ,2,,1W9888P1 ,3,,119A2R152 ,2
1W83337 ,2,,101A2H174 ,1,,119165,1
1W84336T12A ,2,,102A2H138 ,2,,119167,2
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 10 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
1194411,6,,14XR146 ,2,,17A18CB481 ,6
119441T1 ,1,,141276,1,,17A18CD319 ,1
12A18CA131 ,1,,142229,6,,17K1 ,3
12A18CB1188 ,2,,142594,1,,17K1A ,3
12A18CB826 ,1,,142692,2,,17K1G ,3
12A18CB846V ,2,,143151,1,,17K2G ,3
12A18CC826 ,2,,143153,3,,17K3G ,1
12A18CD378 ,12,,143154,4,,17K3M ,2
12K1F ,2,,144493,1,,17K8 ,99
12K1N ,5,,15A11JA36L ,28,,17K9 ,99
12K1NA ,2,,150B189X4 ,2,,1701C ,16
12K2 ,14,,153271T1 ,1,,181A13CXRS275 ,1
12K2C ,40,,1532711,4,,181A13CXRS425 ,1
12K2F ,1,,1532713,8,,181431,1
12K2NA ,24,,1598C1T72 ,2,,182011,3
12K3 ,99,,16A13C125 ,4,,1822073012A ,2
12K3D ,6,,16A4C10 ,4,,1822073012B ,99
12K5F ,2,,161A13S50 ,2,,18221257,1
12K8 ,23,,1638C1 ,1,,1.82E+09 ,1
12K9 ,1,,165671B15 ,3,,1.82E+09 ,1
